Serial,Match Number,Date,Date_STD,Venue,Venue_Country,Score,Score_Transform,Result,Match_Type
148,148,02 Oct 1949 13:30 (+1:00),02-10-1949,"Malmö, Malmö Idrottsplats",Sweden,8-1 Sweden vs Finland,1-8 Finland vs Sweden,Lost,Nordic Football Championship 1948-1951
149,149,09 Oct 1949 14:00 (+2:00),09-10-1949,"Helsinki, Helsingin Olympiastadion",Finland,1-1 Finland vs Rep. of Ireland,1-1 Finland vs Rep. of Ireland,Draw,"1950 FIFA World Cup Qualification, Group 5"
150,150,11 Jun 1950 12:30 (+2:00),11-06-1950,"Helsinki, Helsingin Olympiastadion",Finland,4-1 Finland vs Netherlands,4-1 Finland vs Netherlands,Won,Friendly International
151,151,27 Aug 1950 15:00 (+2:00),27-08-1950,"Helsinki, Helsingin Olympiastadion",Finland,1-2 Finland vs Denmark,1-2 Finland vs Denmark,Lost,Nordic Football Championship 1948-1951
152,152,07 Sep 1950 17:30 (+2:00),07-09-1950,"Helsinki, Helsingin Olympiastadion",Finland,3-2 Finland vs Yugoslavia,3-2 Finland vs Yugoslavia,Won,Friendly International
153,153,10 Sep 1950 13:15 (+1:00),10-09-1950,"Oslo, Ullevaal Stadion",Norway,4-1 Norway vs Finland,1-4 Finland vs Norway,Lost,Nordic Football Championship 1948-1951
154,154,24 Sep 1950 14:00 (+2:00),24-09-1950,"Helsinki, Helsingin Olympiastadion",Finland,0-1 Finland vs Sweden,0-1 Finland vs Sweden,Lost,Nordic Football Championship 1948-1951
155,155,10 May 1951 18:30 (+1:00),10-05-1951,"Swindon, County Ground",United Kingdom,3-2 England* vs Finland,2-3 Finland vs England*,Lost,Friendly International
156,156,16 Aug 1951 18:30 (+2:00),16-08-1951,"Helsinki, Helsingin Olympiastadion",Finland,1-1 Finland vs Norway,1-1 Finland vs Norway,Draw,Nordic Football Championship 1948-1951
157,157,02 Sep 1951 15:00 (+2:00),02-09-1951,"Solna, Råsunda Fotbollstadion",Sweden,3-2 Sweden vs Finland,2-3 Finland vs Sweden,Lost,Nordic Football Championship 1948-1951
158,158,30 Sep 1951 13:30 (+1:00),30-09-1951,"Copenhagen, Københavns Idrætspark",Denmark,1-0 Denmark vs Finland,0-1 Finland vs Denmark,Lost,Nordic Football Championship 1948-1951
159,159,27 Oct 1951 15:30 (+1:00),27-10-1951,"Rotterdam, Stadion de Kuip (Feijenoord)",Netherlands,4-4 Netherlands vs Finland,4-4 Finland vs Netherlands,Draw,Friendly International
160,160,04 Nov 1951 15:00 (+1:00),04-11-1951,"Luxembourg City, Stade Municipal",Luxembourg,3-0 Luxembourg vs Finland,0-3 Finland vs Luxembourg,Lost,Friendly International
161,161,18 Nov 1951 13:30 (+1:00),18-11-1951,"Budapest, Megyeri úti Stadion",Hungary,8-0 Hungary vs Finland,0-8 Finland vs Hungary,Lost,Friendly International
162,162,10 Jun 1952 19:00 (+1:00),10-06-1952,"Oslo, Bislett Stadion",Norway,1-2 Norway vs Finland,2-1 Finland vs Norway,Won,"Norges Fotballforbund 50th Anniversary Match, Semifinal"
163,163,13 Jun 1952,13-06-1952,"Oslo, Ullevaal Stadion",Norway,3-1 Finland vs Sweden,3-1 Finland vs Sweden,Won,"Norges Fotballforbund 50th Anniversary Match, Final"
164,164,22 Jun 1952 15:00 (+2:00),22-06-1952,"Helsinki, Helsingin Olympiastadion",Finland,1-6 Finland vs Hungary,1-6 Finland vs Hungary,Lost,Friendly International
165,165,19 Jul 1952 19:00 (+2:00),19-07-1952,"Helsinki, Helsingin Olympiastadion",Finland,3-4 Finland vs Austria*,3-4 Finland vs Austria*,Lost,"XV. Olympic Games Final Tournament 1952, First round"
166,166,04 Aug 1952 18:00 (+2:00),04-08-1952,"Helsinki, Töölön Pallokenttä",Finland,4-0 Finland vs China,4-0 Finland vs China,Won,Friendly International
167,167,31 Aug 1952 13:15 (+1:00),31-08-1952,"Oslo, Ullevaal Stadion",Norway,7-2 Norway vs Finland,2-7 Finland vs Norway,Lost,Nordic Football Championship 1952-1955
168,168,21 Sep 1952 14:00 (+2:00),21-09-1952,"Helsinki, Helsingin Olympiastadion",Finland,1-8 Finland vs Sweden,1-8 Finland vs Sweden,Lost,Nordic Football Championship 1952-1955
169,169,05 Oct 1952 14:00 (+2:00),05-10-1952,"Helsinki, Helsingin Olympiastadion",Finland,2-1 Finland vs Denmark,2-1 Finland vs Denmark,Won,Nordic Football Championship 1952-1955
170,170,25 May 1953 19:00 (+2:00),25-05-1953,"Helsinki, Helsingin Olympiastadion",Finland,2-4 Finland vs Belgium,2-4 Finland vs Belgium,Lost,"1954 FIFA World Cup Qualification, Group 2"
171,171,05 Aug 1953 18:30 (+2:00),05-08-1953,"Helsinki, Helsingin Olympiastadion",Finland,3-3 Finland vs Sweden,3-3 Finland vs Sweden,Draw,"1954 FIFA World Cup Qualification, Group 2"
172,172,16 Aug 1953 15:00 (+1:00),16-08-1953,"Solna, Råsunda Fotbollstadion",Sweden,4-0 Sweden vs Finland,0-4 Finland vs Sweden,Lost,"1954 FIFA World Cup Qualification, Nordic Football Championship 1952-1955, Group 2"
173,173,30 Aug 1953 14:00 (+2:00),30-08-1953,"Helsinki, Helsingin Olympiastadion",Finland,1-4 Finland vs Norway,1-4 Finland vs Norway,Lost,Nordic Football Championship 1952-1955
174,174,23 Sep 1953 17:00 (+1:00),23-09-1953,"Brussels, Stade du Heysel",Belgium,2-2 Belgium vs Finland,2-2 Finland vs Belgium,Draw,"1954 FIFA World Cup Qualification, Group 2"
175,175,04 Oct 1953 13:30 (+1:00),04-10-1953,"Copenhagen, Københavns Idrætspark",Denmark,6-1 Denmark vs Finland,1-6 Finland vs Denmark,Lost,Nordic Football Championship 1952-1955
176,176,25 May 1954 19:00 (+2:00),25-05-1954,"Helsinki, Helsingin Olympiastadion",Finland,1-2 Finland vs Scotland,1-2 Finland vs Scotland,Lost,Friendly International
177,177,04 Jun 1954 19:00 (+1:00),04-06-1954,"Gothenburg, Ullevi Stadion",Sweden,6-0 Sweden vs Finland,0-6 Finland vs Sweden,Lost,"Svenska Fotbollförbundet 50th Anniversary Tournament, Semifinal"
178,178,13 Jun 1954 18:00 (+2:00),13-06-1954,"Helsinki, Helsingin Olympiastadion",Finland,2-2 Finland vs Denmark,2-2 Finland vs Denmark,Draw,Nordic Football Championship 1952-1955
179,179,15 Aug 1954 17:00 (+2:00),15-08-1954,"Helsinki, Helsingin Olympiastadion",Finland,1-10 Finland vs Sweden,1-10 Finland vs Sweden,Lost,Nordic Football Championship 1952-1955
180,180,29 Aug 1954 13:15 (+1:00),29-08-1954,"Oslo, Ullevaal Stadion",Norway,3-1 Norway vs Finland,1-3 Finland vs Norway,Lost,Nordic Football Championship 1952-1955
181,181,19 May 1955 14:00 (+2:00),19-05-1955,"Helsinki, Helsingin Olympiastadion",Finland,1-9 Finland vs Hungary,1-9 Finland vs Hungary,Lost,Friendly International
182,182,19 Jun 1955 13:30 (+1:00),19-06-1955,"Copenhagen, Københavns Idrætspark",Denmark,2-1 Denmark vs Finland,1-2 Finland vs Denmark,Lost,Nordic Football Championship 1952-1955
183,183,14 Aug 1955 19:00 (+2:00),14-08-1955,"Helsinki, Helsingin Olympiastadion",Finland,1-3 Finland vs Norway,1-3 Finland vs Norway,Lost,Nordic Football Championship 1952-1955
184,184,28 Aug 1955 13:30 (+1:00),28-08-1955,"Hälsingborg, Olympia Stadion",Sweden,3-0 Sweden vs Finland,0-3 Finland vs Sweden,Lost,Nordic Football Championship 1952-1955
185,185,11 Sep 1955 15:30 (+2:00),11-09-1955,"Helsinki, Helsingin Olympiastadion",Finland,1-3 Finland vs Poland,1-3 Finland vs Poland,Lost,Friendly International
186,186,13 Nov 1955,13-11-1955,"Split, Hajdukove Igralište",Croatia,8-0 Yugoslavia* vs Finland,0-8 Finland vs Yugoslavia*,Lost,Friendly International
187,187,20 May 1956 14:00 (+2:00),20-05-1956,"Helsinki, Helsingin Olympiastadion",Finland,1-5 Finland vs England,1-5 Finland vs England,Lost,Friendly International
188,188,10 Jun 1956 14:00 (+2:00),10-06-1956,"Helsinki, Helsingin Olympiastadion",Finland,1-3 Finland vs Sweden,1-3 Finland vs Sweden,Lost,Nordic Football Championship 1956-1959
189,189,29 Jun 1956 19:00 (+2:00),29-06-1956,"Helsinki, Helsingin Olympiastadion",Finland,2-1 Finland vs Iceland,2-1 Finland vs Iceland,Won,Friendly International
190,190,26 Aug 1956 13:15 (+1:00),26-08-1956,"Oslo, Ullevaal Stadion",Norway,1-1 Norway vs Finland,1-1 Finland vs Norway,Draw,Nordic Football Championship 1956-1959
191,191,16 Sep 1956 14:00 (+2:00),16-09-1956,"Helsinki, Helsingin Olympiastadion",Finland,0-4 Finland vs Denmark,0-4 Finland vs Denmark,Lost,Nordic Football Championship 1956-1959
192,192,04 Nov 1956 12:00 (+1:00),04-11-1956,"Kraków, Stadion Wisły",Poland,5-0 Poland vs Finland,0-5 Finland vs Poland,Lost,Friendly International
193,193,18 Jun 1957 19:00 (+2:00),18-06-1957,"Helsinki, Helsingin Olympiastadion",Finland,2-0 Finland vs Denmark,2-0 Finland vs Denmark,Won,"Suomen Palloliitto 50th Anniversary Tournament, Semifinal"
194,194,19 Jun 1957 19:00 (+2:00),19-06-1957,"Helsinki, Helsingin Olympiastadion",Finland,1-5 Finland vs Sweden,1-5 Finland vs Sweden,Lost,"Suomen Palloliitto 50th Anniversary Tournament, Final"
195,195,05 Jul 1957 19:00 (+2:00),05-07-1957,"Helsinki, Helsingin Olympiastadion",Finland,1-3 Finland vs Poland,1-3 Finland vs Poland,Lost,"1958 FIFA World Cup Qualification, Group 6"
196,196,27 Jul 1957 17:00 (+3:00),27-07-1957,"Moscow, Dynamo Stadium",Russia,2-1 Soviet Union vs Finland,1-2 Finland vs Soviet Union,Lost,"1958 FIFA World Cup Qualification, Group 6"
197,197,15 Aug 1957 18:30 (+2:00),15-08-1957,"Helsinki, Helsingin Olympiastadion",Finland,0-10 Finland vs Soviet Union,0-10 Finland vs Soviet Union,Lost,"1958 FIFA World Cup Qualification, Group 6"
198,198,01 Sep 1957 14:00 (+2:00),01-09-1957,"Helsinki, Helsingin Olympiastadion",Finland,0-4 Finland vs Norway,0-4 Finland vs Norway,Lost,Nordic Football Championship 1956-1959
199,199,15 Sep 1957 14:00 (+2:00),15-09-1957,"Helsinki, Helsingin Olympiastadion",Finland,4-3 Finland vs England*,4-3 Finland vs England*,Won,Friendly International
200,200,22 Sep 1957 14:00 (+1:00),22-09-1957,"Solna, Råsunda Fotbollstadion",Sweden,5-1 Sweden vs Finland,1-5 Finland vs Sweden,Lost,Nordic Football Championship 1956-1959
201,201,13 Oct 1957 13:30 (+1:00),13-10-1957,"Copenhagen, Københavns Idrætspark",Denmark,3-0 Denmark vs Finland,0-3 Finland vs Denmark,Lost,Nordic Football Championship 1956-1959
202,202,03 Nov 1957 12:00 (+1:00),03-11-1957,"Warsaw, Stadion Dziesięciolecia Manifestu Lipcowego",Poland,4-0 Poland vs Finland,0-4 Finland vs Poland,Lost,"1958 FIFA World Cup Qualification, Group 6"
203,203,15 Jun 1958 18:00 (+1:00),15-06-1958,"Oslo, Ullevaal Stadion",Norway,2-0 Norway vs Finland,0-2 Finland vs Norway,Lost,Nordic Football Championship 1956-1959
204,204,20 Aug 1958 18:15 (+2:00),20-08-1958,"Helsinki, Helsingin Olympiastadion",Finland,1-7 Finland vs Sweden,1-7 Finland vs Sweden,Lost,Nordic Football Championship 1956-1959
205,205,14 Sep 1958 14:00 (+2:00),14-09-1958,"Helsinki, Helsingin Olympiastadion",Finland,1-4 Finland vs Denmark,1-4 Finland vs Denmark,Lost,Nordic Football Championship 1956-1959
206,206,11 Oct 1958,11-10-1958,"Dulwich, Champion Hill",United Kingdom,3-2 England* vs Finland,2-3 Finland vs England*,Lost,Friendly International
207,207,28 Jun 1959 19:00 (+2:00),28-06-1959,"Helsinki, Helsingin Olympiastadion",Finland,2-4 Finland vs Norway,2-4 Finland vs Norway,Lost,Nordic Football Championship 1956-1959
208,208,02 Aug 1959 18:00 (+1:00),02-08-1959,"Malmö, Malmö Stadion",Sweden,3-1 Sweden vs Finland,1-3 Finland vs Sweden,Lost,Nordic Football Championship 1956-1959
209,209,06 Sep 1959 14:00 (+2:00),06-09-1959,"Helsinki, Helsingin Olympiastadion",Finland,3-2 Finland vs East Germany,3-2 Finland vs East Germany,Won,Friendly International
210,210,04 Oct 1959 13:30 (+1:00),04-10-1959,"Copenhagen, Københavns Idrætspark",Denmark,4-0 Denmark vs Finland,0-4 Finland vs Denmark,Lost,Nordic Football Championship 1956-1959
211,211,18 Oct 1959 14:00 (+2:00),18-10-1959,"Helsinki, Helsingin Olympiastadion",Finland,1-3 Finland vs Poland,1-3 Finland vs Poland,Lost,"XVII. Olympic Games Qualifying Tournament, Group 2"
212,212,08 Nov 1959 12:00 (+1:00),08-11-1959,"Chorzów, Stadion Śląski",Poland,6-2 Poland vs Finland,2-6 Finland vs Poland,Lost,"XVII. Olympic Games Qualifying Tournament, Group 2"
213,213,11 Nov 1959 14:30 (+1:00),11-11-1959,"Siegen, Leimbachstadion",Germany,2-1 West Germany* vs Finland,1-2 Finland vs West Germany*,Lost,"XVII. Olympic Games Qualifying Tournament, Group 2"
214,214,18 May 1960 18:30 (+2:00),18-05-1960,"Helsinki, Helsingin Olympiastadion",Finland,3-2 Finland vs West Germany*,3-2 Finland vs West Germany*,Won,"XVII. Olympic Games Qualifying Tournament, Group 2"
215,215,22 Jun 1960 19:00 (+2:00),22-06-1960,"Helsinki, Helsingin Olympiastadion",Finland,0-3 Finland vs Sweden,0-3 Finland vs Sweden,Lost,Nordic Football Championship 1960-1963
216,216,10 Aug 1960 18:00 (+1:00),10-08-1960,"Copenhagen, Københavns Idrætspark",Denmark,2-1 Denmark vs Finland,1-2 Finland vs Denmark,Lost,Nordic Football Championship 1960-1963
217,217,28 Aug 1960 13:15 (+2:00),28-08-1960,"Oslo, Ullevaal Stadion",Norway,6-3 Norway vs Finland,3-6 Finland vs Norway,Lost,Nordic Football Championship 1960-1963
218,218,25 Sep 1960 14:00 (+2:00),25-09-1960,"Helsinki, Helsingin Olympiastadion",Finland,1-2 Finland vs France,1-2 Finland vs France,Lost,"1962 FIFA World Cup Qualification, Group 2"
219,219,30 Oct 1960 14:00 (+1:00),30-10-1960,"Rostock, Ostseestadion",Germany,5-1 East Germany vs Finland,1-5 Finland vs East Germany,Lost,Friendly International
220,220,16 Jun 1961 19:00 (+2:00),16-06-1961,"Helsinki, Helsingin Olympiastadion",Finland,0-2 Finland vs Bulgaria,0-2 Finland vs Bulgaria,Lost,"1962 FIFA World Cup Qualification, Group 2"
221,221,27 Jun 1961 18:00 (+2:00),27-06-1961,"Helsinki, Helsingin Olympiastadion",Finland,4-1 Finland vs Norway,4-1 Finland vs Norway,Won,Nordic Football Championship 1960-1963
222,222,09 Aug 1961 18:30 (+1:00),09-08-1961,"Norrköping, Norrköpings Idrottspark",Sweden,4-0 Sweden vs Finland,0-4 Finland vs Sweden,Lost,Nordic Football Championship 1960-1963
223,223,28 Sep 1961 17:00 (+1:00),28-09-1961,"Paris, Parc des Princes",France,5-1 France vs Finland,1-5 Finland vs France,Lost,"1962 FIFA World Cup Qualification, Group 2"
224,224,15 Oct 1961 13:30 (+1:00),15-10-1961,"Copenhagen, Københavns Idrætspark",Denmark,9-1 Denmark vs Finland,1-9 Finland vs Denmark,Lost,Nordic Football Championship 1960-1963
225,225,29 Oct 1961 15:30 (+2:00),29-10-1961,"Sofia, National Stadium Vasil Levski",Bulgaria,3-1 Bulgaria vs Finland,1-3 Finland vs Bulgaria,Lost,"1962 FIFA World Cup Qualification, Group 2"
226,226,19 Jun 1962 19:00 (+2:00),19-06-1962,"Helsinki, Helsingin Olympiastadion",Finland,0-3 Finland vs Sweden,0-3 Finland vs Sweden,Lost,Nordic Football Championship 1960-1963
227,227,26 Aug 1962 13:15 (+2:00),26-08-1962,"Bergen, Brann Stadion",Norway,2-1 Norway vs Finland,1-2 Finland vs Norway,Lost,Nordic Football Championship 1960-1963
228,228,16 Sep 1962 13:30 (+2:00),16-09-1962,"Helsinki, Helsingin Olympiastadion",Finland,1-6 Finland vs Denmark,1-6 Finland vs Denmark,Lost,Nordic Football Championship 1960-1963
229,229,03 Jun 1963 13:30 (+1:00),03-06-1963,"Copenhagen, Københavns Idrætspark",Denmark,1-1 Denmark vs Finland,1-1 Finland vs Denmark,Draw,Nordic Football Championship 1960-1963
230,230,27 Jun 1963 19:00 (+2:00),27-06-1963,"Helsinki, Helsingin Olympiastadion",Finland,2-0 Finland vs Norway,2-0 Finland vs Norway,Won,Nordic Football Championship 1960-1963
231,231,22 Jul 1963 18:30 (+3:00),22-07-1963,"Kiev, Central Stadium",Ukraine,7-0 Soviet Union* vs Finland,0-7 Finland vs Soviet Union*,Lost,"XVIII. Olympic Games Qualifying Tournament, First round"
232,232,01 Aug 1963 19:00 (+2:00),01-08-1963,"Helsinki, Helsingin Olympiastadion",Finland,0-4 Finland vs Soviet Union*,0-4 Finland vs Soviet Union*,Lost,"XVIII. Olympic Games Qualifying Tournament, First round"
233,233,14 Aug 1963 19:00 (+1:00),14-08-1963,"Solna, Råsunda Fotbollstadion",Sweden,0-0 Sweden vs Finland,0-0 Finland vs Sweden,Draw,Nordic Football Championship 1960-1963
234,234,07 Jun 1964 14:00 (+2:00),07-06-1964,"Helsinki, Helsingin Olympiastadion",Finland,1-4 Finland vs West Germany,1-4 Finland vs West Germany,Lost,Friendly International
235,235,02 Aug 1964 18:00 (+2:00),02-08-1964,"Helsinki, Helsingin Olympiastadion",Finland,1-0 Finland vs Sweden,1-0 Finland vs Sweden,Won,Nordic Football Championship 1964-1967
236,236,20 Aug 1964 18:30 (+2:00),20-08-1964,"Trondheim, Lerkendal Stadion",Norway,2-0 Norway vs Finland,0-2 Finland vs Norway,Lost,Nordic Football Championship 1964-1967
237,237,23 Aug 1964 16:00,23-08-1964,"Reykjavík, Laugardalsvöllur",Iceland,0-2 Iceland vs Finland,2-0 Finland vs Iceland,Won,Friendly International
238,238,06 Sep 1964 15:00 (+2:00),06-09-1964,"Helsinki, Helsingin Olympiastadion",Finland,2-1 Finland vs Denmark,2-1 Finland vs Denmark,Won,Nordic Football Championship 1964-1967
239,239,21 Oct 1964 19:30 (+1:00),21-10-1964,"Glasgow, Hampden Park",United Kingdom (Scotland),3-1 Scotland vs Finland,1-3 Finland vs Scotland,Lost,"1966 FIFA World Cup Qualification, Group 8"
240,240,04 Nov 1964 14:45 (+1:00),04-11-1964,"Genoa, Stadio Comunale Luigi Ferraris (Marassi)",Italy,6-1 Italy vs Finland,1-6 Finland vs Italy,Lost,"1966 FIFA World Cup Qualification, Group 8"
241,241,27 May 1965 17:00 (+2:00),27-05-1965,"Helsinki, Helsingin Olympiastadion",Finland,1-2 Finland vs Scotland,1-2 Finland vs Scotland,Lost,"1966 FIFA World Cup Qualification, Group 8"
242,242,09 Jun 1965 19:00 (+1:00),09-06-1965,"Copenhagen, Københavns Idrætspark",Denmark,3-1 Denmark vs Finland,1-3 Finland vs Denmark,Lost,Nordic Football Championship 1964-1967
243,243,23 Jun 1965 19:00 (+2:00),23-06-1965,"Helsinki, Helsingin Olympiastadion",Finland,0-2 Finland vs Italy,0-2 Finland vs Italy,Lost,"1966 FIFA World Cup Qualification, Group 8"
244,244,08 Aug 1965 18:30 (+2:00),08-08-1965,"Helsinki, Helsingin Olympiastadion",Finland,4-0 Finland vs Norway,4-0 Finland vs Norway,Won,Nordic Football Championship 1964-1967
245,245,22 Aug 1965 13:30 (+1:00),22-08-1965,"Luleå, Skogsvallen",Sweden,2-2 Sweden vs Finland,2-2 Finland vs Sweden,Draw,Nordic Football Championship 1964-1967
246,246,26 Sep 1965 14:00 (+2:00),26-09-1965,"Helsinki, Helsingin Olympiastadion",Finland,2-0 Finland vs Poland,2-0 Finland vs Poland,Won,"1966 FIFA World Cup Qualification, Group 8"
247,247,24 Oct 1965 12:00 (+1:00),24-10-1965,"Szczecin, Stadion Miejski",Poland,7-0 Poland vs Finland,0-7 Finland vs Poland,Lost,"1966 FIFA World Cup Qualification, Group 8"
248,248,27 Oct 1965,27-10-1965,"Wiesbaden, Stadion an der Berliner Strasse",Germany,6-2 West Germany* vs Finland,2-6 Finland vs West Germany*,Lost,Friendly International
249,249,08 May 1966 17:00 (+2:00),08-05-1966,"Helsinki, Helsingin Olympiastadion",Finland,0-3 Finland vs Israel,0-3 Finland vs Israel,Lost,Friendly International
250,250,04 Jun 1966 19:00 (+2:00),04-06-1966,"Helsinki, Helsingin Olympiastadion",Finland,1-0 Finland vs Sweden,1-0 Finland vs Sweden,Won,Nordic Football Championship 1964-1967
251,251,26 Jun 1966 19:00 (+2:00),26-06-1966,"Helsinki, Helsingin Olympiastadion",Finland,0-3 Finland vs England,0-3 Finland vs England,Lost,Friendly International
252,252,14 Aug 1966 13:15 (+1:00),14-08-1966,"Stavanger, Stavanger Stadion",Norway,1-1 Norway vs Finland,1-1 Finland vs Norway,Draw,Nordic Football Championship 1964-1967
253,253,18 Sep 1966 14:00 (+2:00),18-09-1966,"Helsinki, Helsingin Olympiastadion",Finland,2-1 Finland vs Denmark,2-1 Finland vs Denmark,Won,Nordic Football Championship 1964-1967
254,254,02 Oct 1966 14:00 (+2:00),02-10-1966,"Helsinki, Helsingin Olympiastadion",Finland,0-0 Finland vs Austria,0-0 Finland vs Austria,Draw,"UEFA Euro 1968 Qualifying, Group 3"
255,255,16 Oct 1966 15:30 (+2:00),16-10-1966,"Thessaloniki, National Kaftanzogleio Stadium",Greece,2-1 Greece vs Finland,1-2 Finland vs Greece,Lost,"UEFA Euro 1968 Qualifying, Group 3"
256,256,10 May 1967 18:00 (+2:00),10-05-1967,"Helsinki, Helsingin Olympiastadion",Finland,1-1 Finland vs Greece,1-1 Finland vs Greece,Draw,"UEFA Euro 1968 Qualifying, Group 3"
257,257,24 May 1967 19:00 (+2:00),24-05-1967,"Helsinki, Helsingin Olympiastadion",Finland,0-0 Finland vs Netherlands*,0-0 Finland vs Netherlands*,Draw,"XIX. Olympic Games Qualifying Tournament, First round"
258,258,01 Jun 1967 19:00 (+2:00),01-06-1967,"Helsinki, Helsingin Olympiastadion",Finland,0-2 Finland vs Norway,0-2 Finland vs Norway,Lost,Nordic Football Championship 1964-1967
259,259,14 Jun 1967,14-06-1967,"Arnhem, Stadion Nieuw Monnikenhuize",Netherlands,0-1 Netherlands* vs Finland,1-0 Finland vs Netherlands*,Won,"XIX. Olympic Games Qualifying Tournament, First round"
260,260,10 Aug 1967 19:00 (+1:00),10-08-1967,"Solna, Råsunda Fotbollstadion",Sweden,2-0 Sweden vs Finland,0-2 Finland vs Sweden,Lost,Nordic Football Championship 1964-1967
261,261,30 Aug 1967 19:00 (+3:00),30-08-1967,"Moscow, Lenin Central Stadium",Russia,2-0 Soviet Union vs Finland,0-2 Finland vs Soviet Union,Lost,"UEFA Euro 1968 Qualifying, Group 3"
262,262,06 Sep 1967,06-09-1967,"Turku, Kupittaan Jalkapallostadion",Finland,2-5 Finland vs Soviet Union,2-5 Finland vs Soviet Union,Lost,"UEFA Euro 1968 Qualifying, Group 3"
263,263,24 Sep 1967 15:00 (+1:00),24-09-1967,"Vienna, Praterstadion (Wiener Stadion)",Austria,2-1 Austria vs Finland,1-2 Finland vs Austria,Lost,"UEFA Euro 1968 Qualifying, Group 3"
264,264,15 Oct 1967 14:00 (+2:00),15-10-1967,"Helsinki, Helsingin Olympiastadion",Finland,1-1 Finland vs France*,1-1 Finland vs France*,Draw,"XIX. Olympic Games Qualifying Tournament, Second round"
265,265,22 Oct 1967 13:30 (+1:00),22-10-1967,"Copenhagen, Københavns Idrætspark",Denmark,3-0 Denmark vs Finland,0-3 Finland vs Denmark,Lost,Nordic Football Championship 1964-1967
266,266,29 Oct 1967,29-10-1967,"Paris, Parc des Princes",France,3-1 France* vs Finland,1-3 Finland vs France*,Lost,"XIX. Olympic Games Qualifying Tournament, Second round"
267,267,04 Jun 1968 19:00 (+2:00),04-06-1968,"Helsinki, Helsingin Olympiastadion",Finland,1-3 Finland vs Denmark,1-3 Finland vs Denmark,Lost,Nordic Football Championship 1968-1971
268,268,19 Jun 1968 19:00 (+2:00),19-06-1968,"Helsinki, Helsingin Olympiastadion",Finland,1-2 Finland vs Belgium,1-2 Finland vs Belgium,Lost,"1970 FIFA World Cup Qualification, Group 6"
269,269,18 Aug 1968 18:00 (+1:00),18-08-1968,"Oslo, Ullevaal Stadion",Norway,4-1 Norway vs Finland,1-4 Finland vs Norway,Lost,Nordic Football Championship 1968-1971
270,270,11 Sep 1968 18:30 (+2:00),11-09-1968,"Helsinki, Helsingin Olympiastadion",Finland,0-3 Finland vs Sweden,0-3 Finland vs Sweden,Lost,Nordic Football Championship 1968-1971
271,271,25 Sep 1968 18:15 (+1:00),25-09-1968,"Belgrade, Stadion Jugoslovenska Narodna Armija",Serbia (former Yugoslavia),9-1 Yugoslavia vs Finland,1-9 Finland vs Yugoslavia,Lost,"1970 FIFA World Cup Qualification, Group 6"
272,272,09 Oct 1968 20:00 (+1:00),09-10-1968,"Waregem, Regenboogstadion",Belgium,6-1 Belgium vs Finland,1-6 Finland vs Belgium,Lost,"1970 FIFA World Cup Qualification, Group 6"
273,273,02 Apr 1969,02-04-1969,"Rotterdam, Stadion de Kuip (Feijenoord)",Netherlands,2-0 Netherlands vs Finland,0-2 Finland vs Netherlands,Lost,Friendly International
274,274,15 May 1969 14:00 (+2:00),15-05-1969,"Helsinki, Helsingin Olympiastadion",Finland,3-1 Finland vs Netherlands,3-1 Finland vs Netherlands,Won,Friendly International
275,275,22 May 1969 19:00 (+1:00),22-05-1969,"Växjö, Värendsvallen",Sweden,4-0 Sweden vs Finland,0-4 Finland vs Sweden,Lost,Nordic Football Championship 1968-1971
276,276,04 Jun 1969 19:00 (+2:00),04-06-1969,"Helsinki, Helsingin Olympiastadion",Finland,1-5 Finland vs Yugoslavia,1-5 Finland vs Yugoslavia,Lost,"1970 FIFA World Cup Qualification, Group 6"
277,277,25 Jun 1969 19:00 (+2:00),25-06-1969,"Helsinki, Helsingin Olympiastadion",Finland,2-0 Finland vs Spain,2-0 Finland vs Spain,Won,"1970 FIFA World Cup Qualification, Group 6"
278,278,24 Jul 1969 19:00 (+2:00),24-07-1969,"Helsinki, Helsingin Olympiastadion",Finland,3-1 Finland vs Iceland,3-1 Finland vs Iceland,Won,Friendly International
279,279,24 Aug 1969 18:30 (+2:00),24-08-1969,"Helsinki, Helsingin Olympiastadion",Finland,2-2 Finland vs Norway,2-2 Finland vs Norway,Draw,Nordic Football Championship 1968-1971
280,280,10 Sep 1969 19:00 (+1:00),10-09-1969,"Copenhagen, Københavns Idrætspark",Denmark,5-2 Denmark vs Finland,2-5 Finland vs Denmark,Lost,Nordic Football Championship 1968-1971
281,281,15 Oct 1969 17:00 (+1:00),15-10-1969,"La Línea de la Concepción, Estadio Municipal José Antonio",Spain,6-0 Spain vs Finland,0-6 Finland vs Spain,Lost,"1970 FIFA World Cup Qualification, Group 6"
282,282,21 May 1970 19:00 (+2:00),21-05-1970,"Helsinki, Helsingin Olympiastadion",Finland,0-0 Finland vs West Germany,0-0 Finland vs West Germany,Draw,Friendly International
283,283,03 Jun 1970 19:00 (+2:00),03-06-1970,"Helsinki, Helsingin Olympiastadion",Finland,1-1 Finland vs Denmark,1-1 Finland vs Denmark,Draw,Nordic Football Championship 1968-1971
284,284,17 Jun 1970 18:30 (+1:00),17-06-1970,"Bergen, Brann Stadion",Norway,2-0 Norway vs Finland,0-2 Finland vs Norway,Lost,Nordic Football Championship 1968-1971
